Location,Household Total,Median,Mean
"BaldwinCounty,Alabama",76779,56732,74892
"CalhounCounty,Alabama",43972,41687,58992
"CullmanCounty,Alabama",30299,39411,54412
"DeKalbCounty,Alabama",25383,35963,48529
"ElmoreCounty,Alabama",29350,52579,71553
"EtowahCounty,Alabama",38766,41152,55243
"HoustonCounty,Alabama",39167,42321,59912
"JeffersonCounty,Alabama",261904,50180,74945
"LauderdaleCounty,Alabama",37875,43427,58691
"LeeCounty,Alabama",59354,48056,64562
"LimestoneCounty,Alabama",31880,50872,69299
"MadisonCounty,Alabama",143669,60503,85057
"MarshallCounty,Alabama",34726,42362,59315
"MobileCounty,Alabama",157141,45744,61800
"MontgomeryCounty,Alabama",90827,45395,65678
"MorganCounty,Alabama",44816,44378,59794
"St.ClairCounty,Alabama",31615,60158,65740
"ShelbyCounty,Alabama",76059,73647,91136
"TalladegaCounty,Alabama",31517,39393,51776
"TuscaloosaCounty,Alabama",73825,47787,65773
"WalkerCounty,Alabama",23863,39068,50794
"AnchorageMunicipality,Alaska",105249,85634,106393
"FairbanksNorthStarBorough,Alaska",33770,77328,87359
"Matanuska-SusitnaBorough,Alaska",30305,69332,87787
"ApacheCounty,Arizona",20018,34685,44505
"CochiseCounty,Arizona",50147,45508,55174
"CoconinoCounty,Arizona",47408,55091,67297
"MaricopaCounty,Arizona",1521131,58737,81501
"MohaveCounty,Arizona",84876,42423,57530
"NavajoCounty,Arizona",33587,36998,51447
"PimaCounty,Arizona",400835,47560,65881
"PinalCounty,Arizona",132352,52555,65692
"YavapaiCounty,Arizona",94962,50420,65804
"YumaCounty,Arizona",73072,43518,56872
"BentonCounty,Arkansas",94494,63631,83871
"CraigheadCounty,Arkansas",39813,43678,64488
"FaulknerCounty,Arkansas",43964,48506,65068
"GarlandCounty,Arkansas",39309,42826,56172
"JeffersonCounty,Arkansas",26750,37712,51502
"LonokeCounty,Arkansas",26327,55837,64569
"PulaskiCounty,Arkansas",161291,47387,72387
"SalineCounty,Arkansas",43371,64932,75347
"SebastianCounty,Arkansas",51055,42053,56346
"WashingtonCounty,Arkansas",88690,45679,64869
"WhiteCounty,Arkansas",28221,42844,54969
"AlamedaCounty,California",572012,89979,117667
"ButteCounty,California",85531,45177,65703
"ContraCostaCounty,California",391288,91045,122204
"ElDoradoCounty,California",69653,75772,100639
"FresnoCounty,California",303216,48715,68967
"HumboldtCounty,California",54230,43130,64617
"ImperialCounty,California",44855,49095,63208
"KernCounty,California",270359,49903,67594
"KingsCounty,California",43090,53234,67901
"LakeCounty,California",24593,42029,60536
"LosAngelesCounty,California",3305589,61338,89718
"MaderaCounty,California",44369,51657,67604
"MarinCounty,California",106333,103845,160053
"MendocinoCounty,California",35439,43809,65838
"MercedCounty,California",77713,47739,70672
"MontereyCounty,California",125740,63876,88289
"NapaCounty,California",49561,75077,106368
"NevadaCounty,California",38708,59022,85575
"OrangeCounty,California",1032218,81837,113420
"PlacerCounty,California",139104,85426,110245
"RiversideCounty,California",715040,60134,79354
"SacramentoCounty,California",535090,59780,81290
"SanBernardinoCounty,California",633173,56337,73078
"SanDiegoCounty,California",1110568,70824,96692
