Location,Obesity Percentage,Lower Limit,Upper Limit
"AutaugaCounty,Alabama",33.2,27.2,39.5
"BaldwinCounty,Alabama",31.1,28,34.4
"BarbourCounty,Alabama",41.7,34.1,49.5
"BibbCounty,Alabama",37.7,30,46.7
"BlountCounty,Alabama",33.7,27.7,39.9
"BullockCounty,Alabama",37.1,22.7,51.7
"ButlerCounty,Alabama",43.9,35.8,51.9
"CalhounCounty,Alabama",38.5,34.6,42.5
"ChambersCounty,Alabama",40.2,32.1,48.6
"CherokeeCounty,Alabama",34.8,27.1,42.6
"ChiltonCounty,Alabama",38.1,30.5,45.7
"ChoctawCounty,Alabama",41.1,34.1,47.9
"ClarkeCounty,Alabama",34.2,27.5,41.3
"ClayCounty,Alabama",41.1,30.6,51.5
"CleburneCounty,Alabama",37.7,29.1,47.5
"CoffeeCounty,Alabama",34.2,28.1,40.3
"ColbertCounty,Alabama",30.5,25.6,36.1
"ConecuhCounty,Alabama",43.8,33.7,54.1
"CoosaCounty,Alabama",40.6,30.4,51.6
"CovingtonCounty,Alabama",31.7,25.9,37.8
"CrenshawCounty,Alabama",38.2,29.4,47.5
"CullmanCounty,Alabama",36.7,30.6,42.8
"DaleCounty,Alabama",37.3,32,43.2
"DallasCounty,Alabama",43.8,39.6,48.2
"DekalbCounty,Alabama",29.1,24.2,34.1
"ElmoreCounty,Alabama",34.3,28.4,41
"EscambiaCounty,Alabama",39.6,32.6,46.4
"EtowahCounty,Alabama",35.7,31.5,40.2
"FayetteCounty,Alabama",41.6,33.2,49.7
"FranklinCounty,Alabama",34.2,27.3,42.1
"GenevaCounty,Alabama",39.1,31.1,47.1
"GreeneCounty,Alabama",35.4,24.8,46.3
"HaleCounty,Alabama",40.7,33.4,47.8
"HenryCounty,Alabama",36.3,27.5,46
"HoustonCounty,Alabama",38.1,34.1,42.5
"JacksonCounty,Alabama",39.4,31.6,47.5
"JeffersonCounty,Alabama",34.3,32,36.6
"LamarCounty,Alabama",36.3,28.3,44.9
"LauderdaleCounty,Alabama",32.8,28,37.5
"LawrenceCounty,Alabama",32.4,23.6,41.5
"LeeCounty,Alabama",30,25.9,34.7
"LimestoneCounty,Alabama",33.7,27.8,39.8
"LowndesCounty,Alabama",47,38.5,55.8
"MaconCounty,Alabama",49.3,37.5,61.1
"MadisonCounty,Alabama",32.8,29.4,36.5
"MarengoCounty,Alabama",42.7,36.5,49.1
"MarionCounty,Alabama",37.4,30.4,44.5
"MarshallCounty,Alabama",34.2,28.1,40.9
"MobileCounty,Alabama",36.5,34.1,39.1
"MonroeCounty,Alabama",42.2,34.4,50.2
"MontgomeryCounty,Alabama",37.7,34,41.2
"MorganCounty,Alabama",32.1,26.7,38.7
"PerryCounty,Alabama",43.6,36.2,51.4
"PickensCounty,Alabama",35,27.2,43.2
"PikeCounty,Alabama",36.5,29.6,43.6
"RandolphCounty,Alabama",37.6,28.7,47.4
"RussellCounty,Alabama",45,35.5,54.6
"ShelbyCounty,Alabama",34.8,30.7,38.7
"St.ClairCounty,Alabama",36.7,31.3,42.4
"SumterCounty,Alabama",42.6,35.2,49.5
"TalladegaCounty,Alabama",38.9,34.1,43.9
"TallapoosaCounty,Alabama",36,30.3,42
"TuscaloosaCounty,Alabama",34.6,31.8,37.6
"WalkerCounty,Alabama",40.1,34.9,45.3
"WashingtonCounty,Alabama",32.8,24.5,41.6
"WilcoxCounty,Alabama",47.5,39.2,56.3
"WinstonCounty,Alabama",37.8,29.7,46.4
"AleutiansEastBorough,Alaska",49.9,39.6,61.3
"AleutiansWestCensusArea,Alaska",44.1,36.4,52
"AnchorageMunicipality,Alaska",31.7,29.3,34.2
"BethelCensusArea,Alaska",30.8,26,36.2
"BristolBayBorough,Alaska",41.3,32.8,49.9
"DenaliBorough,Alaska",24.7,18,32.4
"DillinghamCensusArea,Alaska",35.2,28.6,42.3
"FairbanksNorthStarBorough,Alaska",30,27.6,32.8
"HainesBorough,Alaska",26.4,19,34.6
"Hoonah-AngoonCensusArea,Alaska",31.5,21,43.8
"JuneauCityandBorough,Alaska",26.9,23.1,31.1
"KenaiPeninsulaBorough,Alaska",32.9,29.2,36.4
"KetchikanGatewayBorough,Alaska",38,31.5,43.9
"KodiakIslandBorough,Alaska",33.8,26.5,41.4
"KusilvakCensusArea,Alaska",23,15.8,31.1
"LakeandPeninsulaBorough,Alaska",37.5,28.7,46.8
"Matanuska-SusitnaBorough,Alaska",34.1,31.5,36.9
"NomeCensusArea,Alaska",40.2,33.3,46.7
"NorthSlopeBorough,Alaska",39.7,33,46.5
"NorthwestArcticBorough,Alaska",41.8,34.4,49.9
"PetersburgCensusArea,Alaska",24.1,15.7,34.7
"PrinceofWales-OuterKetchikan,Alaska",No Data,No Data,No Data
"PrinceofWales-HyderCensu,Alaska",44.8,33.9,56.1
"SitkaCityandBorough,Alaska",26.2,19.8,33.4
"SkagwayMunicipality,Alaska",32.4,20.8,45.7
"Skagway-Hoonah-Angoon,Alaska",No Data,No Data,No Data
"SoutheastFairbanksCensusArea,Alaska",32.7,27.9,38
"Valdez-CordovaCensusArea,Alaska",34.1,27.5,41
"WadeHamptonCensusArea,Alaska",No Data,No Data,No Data
"WrangellCityandBorough,Alaska",43.1,30.9,55.3
"Wrangell-PetersburgCensusArea,Alaska",No Data,No Data,No Data
"YakutatCityandBorough,Alaska",31.4,16,51.1
"Yukon-KoyukukCensusArea,Alaska",30.3,25,35.7
"ApacheCounty,Arizona",33.7,30.5,37.2
"CochiseCounty,Arizona",30,26.5,33.8
"CoconinoCounty,Arizona",23.8,21,26.8
"GilaCounty,Arizona",32.8,29,36.8
"GrahamCounty,Arizona",34.9,28.8,41.4
"GreenleeCounty,Arizona",29.3,20.6,39.4
"LaPazCounty,Arizona",31.5,22.4,41.9
"MaricopaCounty,Arizona",26.9,26,27.8
"MohaveCounty,Arizona",32.2,28.5,35.9
"NavajoCounty,Arizona",34.3,30.8,37.9
"PimaCounty,Arizona",25.2,23.7,26.9
"PinalCounty,Arizona",33.3,30.7,35.8
"SantaCruzCounty,Arizona",26.7,19.7,34.7
"YavapaiCounty,Arizona",23,19.9,26.1
"YumaCounty,Arizona",37.5,32.8,42.6
"ArkansasCounty,Arkansas",30.4,23.2,38.8
"AshleyCounty,Arkansas",43,35.3,52
"BaxterCounty,Arkansas",35.1,28.8,41.8
"BentonCounty,Arkansas",29.2,25.8,32.7
"BooneCounty,Arkansas",35,28,41.8
"BradleyCounty,Arkansas",46.9,34.3,60
"CalhounCounty,Arkansas",29,19.2,40.3
"CarrollCounty,Arkansas",27,19.9,34.4
"ChicotCounty,Arkansas",38.8,29.5,48
"ClarkCounty,Arkansas",27,19.2,36
"ClayCounty,Arkansas",43.7,34.1,53.7
"CleburneCounty,Arkansas",37.9,29.1,47.2
"ClevelandCounty,Arkansas",35.6,25.7,46.2
"ColumbiaCounty,Arkansas",36.5,28.1,44.8
"ConwayCounty,Arkansas",36.8,27.9,46.7
"CraigheadCounty,Arkansas",38.3,33,44.2
"CrawfordCounty,Arkansas",35.4,28.9,42.3
"CrittendenCounty,Arkansas",41.3,35.4,47.3
"CrossCounty,Arkansas",39.1,29.9,48.3
"DallasCounty,Arkansas",38.6,26.3,51.7
"DeshaCounty,Arkansas",37.8,28.6,47.2
"DrewCounty,Arkansas",40.9,31.8,50.7
"FaulknerCounty,Arkansas",35.2,29.9,40.5
"FranklinCounty,Arkansas",34,24,44.9
"FultonCounty,Arkansas",27.7,20.7,36
"GarlandCounty,Arkansas",29.4,24.5,34.6
"GrantCounty,Arkansas",35.6,27.9,44.1
"GreeneCounty,Arkansas",36.8,28.9,44.8
"HempsteadCounty,Arkansas",29,21,38.7
"HotSpringCounty,Arkansas",36.1,28.9,43.9
"HowardCounty,Arkansas",45,35.2,55.3
"IndependenceCounty,Arkansas",28.3,21.6,35.3
"IzardCounty,Arkansas",34.9,26.4,43.9
"JacksonCounty,Arkansas",43.4,31.3,56
"JeffersonCounty,Arkansas",40.9,35.6,46.2
"JohnsonCounty,Arkansas",40,31.3,49.2
"LafayetteCounty,Arkansas",46.4,34.7,58.1
"LawrenceCounty,Arkansas",32.1,23.3,41.4
"LeeCounty,Arkansas",39.2,30.8,47.9
"LincolnCounty,Arkansas",32.5,23.3,43.1
"LittleRiverCounty,Arkansas",38.1,28.5,48.7
"LoganCounty,Arkansas",33,24.6,41.9
"LonokeCounty,Arkansas",43.2,36.3,50.8
"MadisonCounty,Arkansas",34.6,26.6,43
"MarionCounty,Arkansas",28.4,21.5,36.7
"MillerCounty,Arkansas",34.1,28.3,40.5
"MississippiCounty,Arkansas",41.1,34.7,47.8
"MonroeCounty,Arkansas",38.3,25,51.4
"MontgomeryCounty,Arkansas",28,19.2,38.4
"NevadaCounty,Arkansas",35.6,25.5,46.8
"NewtonCounty,Arkansas",31.8,22.5,41.3
"OuachitaCounty,Arkansas",38.2,31.6,45
"PerryCounty,Arkansas",32.9,23.4,44.4
"PhillipsCounty,Arkansas",42.8,35.6,50.4
"PikeCounty,Arkansas",33.8,25.2,42.9
"PoinsettCounty,Arkansas",42.6,33.5,51.4
"PolkCounty,Arkansas",34.1,26.7,42
"PopeCounty,Arkansas",34.5,28.9,40
"PrairieCounty,Arkansas",45.6,34.2,57
"PulaskiCounty,Arkansas",33.1,30.6,35.6
"RandolphCounty,Arkansas",35,25.9,45.6
"SalineCounty,Arkansas",30,25.3,35
"ScottCounty,Arkansas",38.6,27.3,51.1
"SearcyCounty,Arkansas",32.6,23.1,43.9
"SebastianCounty,Arkansas",31.1,26.9,35.8
"SevierCounty,Arkansas",33.2,26.2,40.7
"SharpCounty,Arkansas",38.5,29.3,48.4
"St.FrancisCounty,Arkansas",42.9,35.7,49.9
"StoneCounty,Arkansas",39.6,30.8,48.7
"UnionCounty,Arkansas",34.4,27.6,41.4
"VanBurenCounty,Arkansas",38.5,30.9,46.9
"WashingtonCounty,Arkansas",29.9,26.6,33.3
"WhiteCounty,Arkansas",31.5,25.8,37.6
"WoodruffCounty,Arkansas",42.5,26.7,58.5
"YellCounty,Arkansas",38.5,29.5,48
"AlamedaCounty,California",19.2,17.3,21.5
"AlpineCounty,California",20.9,12.3,34.7
"AmadorCounty,California",29.8,21.1,40
"ButteCounty,California",27.2,22.2,32.7
"CalaverasCounty,California",30.4,21.1,41.2
"ColusaCounty,California",40.6,28.8,53.3
