Location,Population
"Los Angeles County,   California",10105518
"Cook County,   Illinois",5180493
"Harris County,   Texas",4698619
"Maricopa County,   Arizona",4410824
"San Diego County,   California",3343364
"Orange County,   California",3185968
"Miami-Dade County,   Florida",2761581
"Dallas County,   Texas",2637772
"Kings County,   New York",2582830
"Riverside County,   California",2450758
"Queens County,   New York",2278906
"King County,   Washington",2233163
"Clark County,   Nevada",2231647
"San Bernardino County,   California",2171603
"Tarrant County,   Texas",2084931
"Bexar County,   Texas",1986049
"Broward County,   Florida",1951260
"Santa Clara County,   California",1937570
"Wayne County,   Michigan",1753893
"Alameda County,   California",1666753
"New York County,   New York",1628701
"Middlesex County,   Massachusetts",1614714
"Philadelphia County,   Pennsylvania",1584138
"Sacramento County,   California",1540975
"Palm Beach County,   Florida",1485941
"Suffolk County,   New York",1481093
"Hillsborough County,   Florida",1436888
"Bronx County,   New York",1432132
"Orange County,   Florida",1380645
"Nassau County,   New York",1358343
"Franklin County,   Ohio",1310300
"Hennepin County,   Minnesota",1259428
"Oakland County,   Michigan",1259201
"Travis County,   Texas",1248743
"Cuyahoga County,   Ohio",1243857
"Allegheny County,   Pennsylvania",1218452
"Salt Lake County,   Utah",1152633
"Fairfax County,   Virginia",1150795
"Contra Costa County,   California",1150215
"Mecklenburg County,   North Carolina",1093901
"Wake County,   North Carolina",1092305
"Montgomery County,   Maryland",1052567
"Fulton County,   Georgia",1050114
"Pima County,   Arizona",1039073
"Collin County,   Texas",1005146
"St. Louis County,   Missouri",996945
"Fresno County,   California",994400
"Honolulu County,   Hawaii",980080
"Pinellas County,   Florida",975280
"Westchester County,   New York",967612
"Marion County,   Indiana",954670
"Duval County,   Florida",950181
"Milwaukee County,   Wisconsin",948201
"Fairfield County,   Connecticut",943823
"Bergen County,   New Jersey",936692
"Shelby County,   Tennessee",935764
"DuPage County,   Illinois",928589
"Gwinnett County,   Georgia",927781
"Erie County,   New York",919719
"Prince George's County,   Maryland",909308
"Kern County,   California",896764
"Hartford County,   Connecticut",892697
"Pierce County,   Washington",891299
"San Francisco County,   California",883305
"Macomb County,   Michigan",874759
"Hidalgo County,   Texas",865939
"Denton County,   Texas",859064
"New Haven County,   Connecticut",857620
"Ventura County,   California",850967
"El Paso County,   Texas",840758
"Worcester County,   Massachusetts",830839
"Middlesex County,   New Jersey",829685
"Montgomery County,   Pennsylvania",828604
"Baltimore County,   Maryland",828431
"Hamilton County,   Ohio",816684
"Snohomish County,   Washington",814901
"Multnomah County,   Oregon",811880
"Suffolk County,   Massachusetts",807252
"Essex County,   New Jersey",799767
"Oklahoma County,   Oklahoma",792582
"Essex County,   Massachusetts",790638
"Fort Bend County,   Texas",787858
"Jefferson County,   Kentucky",770517
"San Mateo County,   California",769545
"Cobb County,   Georgia",756865
"DeKalb County,   Georgia",756558
"Lee County,   Florida",754610
"San Joaquin County,   California",752660
"Monroe County,   New York",742474
"Denver County,   Colorado",716492
"El Paso County,   Colorado",713856
"Polk County,   Florida",708009
"Norfolk County,   Massachusetts",705388
"District of Columbia,   District of Columbia",702455
,702455
"Lake County,   Illinois",700832
"Jackson County,   Missouri",700307
"Davidson County,   Tennessee",692587
"Will County,   Illinois",692310
"Bernalillo County,   New Mexico",678701
"Hudson County,   New Jersey",676061
"Jefferson County,   Alabama",659300
"Kent County,   Michigan",653786
"Arapahoe County,   Colorado",651215
"Tulsa County,   Oklahoma",648360
"Providence County,   Rhode Island",636084
"Bucks County,   Pennsylvania",628195
"Utah County,   Utah",622213
"Monmouth County,   New Jersey",621354
"Baltimore city,   Maryland",602495
"Ocean County,   New Jersey",601651
"Washington County,   Oregon",597695
"Johnson County,   Kansas",597555
"Brevard County,   Florida",596849
"Montgomery County,   Texas",590925
"Jefferson County,   Colorado",580233
"Anne Arundel County,   Maryland",576031
"Douglas County,   Nebraska",566880
"Williamson County,   Texas",566719
"Delaware County,   Pennsylvania",564751
"Bristol County,   Massachusetts",564022
"New Castle County,   Delaware",559335
"Union County,   New Jersey",558067
"Ramsey County,   Minnesota",550210
"Stanislaus County,   California",549815
"Volusia County,   Florida",547538
"Lancaster County,   Pennsylvania",543557
"Dane County,   Wisconsin",542364
"Summit County,   Ohio",541918
"Pasco County,   Florida",539630
"Kane County,   Illinois",534216
"Guilford County,   North Carolina",533670
"Montgomery County,   Ohio",532331
"Chester County,   Pennsylvania",522046
"Plymouth County,   Massachusetts",518132
"Spokane County,   Washington",514631
"Greenville County,   South Carolina",514213
"Sedgwick County,   Kansas",513607
"Adams County,   Colorado",511868
"Camden County,   New Jersey",507078
"Passaic County,   New Jersey",503310
"Sonoma County,   California",499942
"Morris County,   New Jersey",494228
"Polk County,   Iowa",487204
"Lake County,   Indiana",484411
"Clark County,   Washington",481857
"Richmond County,   New York",476179
"Hampden County,   Massachusetts",470406
"Ada County,   Idaho",469966
"Prince William County,   Virginia",468011
"Seminole County,   Florida",467832
"Tulare County,   California",465861
"Washoe County,   Nevada",465735
"Knox County,   Tennessee",465289
"Onondaga County,   New York",461809
"Virginia Beach city,   Virginia",450189
"York County,   Pennsylvania",448273
"Pinal County,   Arizona",447138
"Solano County,   California",446610
"Santa Barbara County,   California",446527
"Burlington County,   New Jersey",445384
"East Baton Rouge Parish,   Louisiana",440956
"Monterey County,   California",435594
"Jefferson Parish,   Louisiana",434051
"Lucas County,   Ohio",429899
"Sarasota County,   Florida",426718
"Dakota County,   Minnesota",425423
"Cameron County,   Texas",423908
"Berks County,   Pennsylvania",420152
"Clackamas County,   Oregon",416075
"Hillsborough County,   New Hampshire",415247
"Richland County,   South Carolina",414576
"Mobile County,   Alabama",413757
"Genesee County,   Michigan",406892
"Loudoun County,   Virginia",406850
"Charleston County,   South Carolina",405905
"Waukesha County,   Wisconsin",403072
"St. Charles County,   Missouri",399182
"Manatee County,   Florida",394855
"Placer County,   California",393149
"Pulaski County,   Arkansas",392680
"Orleans Parish,   Louisiana",391006
"Butler County,   Ohio",382378
"Orange County,   New York",381951
"Lane County,   Oregon",379611
"Forsyth County,   North Carolina",379099
