,Location,Obesity Percentage,Lower Limit,Upper Limit,Population
0,"Abbeville County,  South Carolina",37,30.7,43.2,
1,"Acadia Parish,  Louisiana",38.4,31,46,
2,"Accomack County,  Virginia",36.7,30.6,43.4,
3,"Ada County,  Idaho",25.3,23.3,27.3,"469,966.00"
4,"Adair County,  Iowa",31.3,22.1,42.4,
5,"Adair County,  Kentucky",41.6,33.2,50.1,
6,"Adair County,  Missouri",28.2,21.4,35.3,
7,"Adair County,  Oklahoma",48,37.6,57.5,
8,"Adams County,  Colorado",27.7,25.7,29.8,"511,868.00"
9,"Adams County,  Idaho",30.2,21.7,40,
10,"Adams County,  Illinois",37,28.1,46.6,
11,"Adams County,  Indiana",34.8,27.6,43.3,
12,"Adams County,  Iowa",29.7,20.5,41.4,
13,"Adams County,  Mississippi",35.1,29.3,40.9,
14,"Adams County,  Nebraska",36.8,33.6,40,
15,"Adams County,  North Dakota",29.6,21.4,38.9,
16,"Adams County,  Ohio",32.3,24.9,40.1,
17,"Adams County,  Pennsylvania",35.6,28,44.2,
18,"Adams County,  Washington",36.9,30.6,43,
19,"Adams County,  Wisconsin",29.5,21.3,39.4,
20,"Addison County,  Vermont",24.8,22.2,27.7,
21,"Adjuntas Municipio,  Puerto Rico",No Data,No Data,No Data,
22,"Aguada Municipio,  Puerto Rico",No Data,No Data,No Data,
23,"Aguadilla Municipio,  Puerto Rico",No Data,No Data,No Data,
24,"Aguas Buenas Municipio,  Puerto Rico",No Data,No Data,No Data,
25,"Aibonito Municipio,  Puerto Rico",No Data,No Data,No Data,
26,"Aiken County,  South Carolina",36.4,33.3,39.5,
27,"Aitkin County,  Minnesota",28.8,23.4,34.6,
28,"Alachua County,  Florida",26.9,24.4,29.8,"269,956.00"
29,"Alamance County,  North Carolina",32.3,26.4,38.6,
30,"Alameda County,  California",19.2,17.3,21.5,"1,666,753.00"
31,"Alamosa County,  Colorado",24,17.9,30.7,
32,"Albany County,  New York",27,24.2,29.7,"307,117.00"
33,"Albany County,  Wyoming",24.2,21.1,28,
34,"Albemarle County,  Virginia",20.3,16.9,24.2,
35,"Alcona County,  Michigan",35.2,23.5,48.6,
36,"Alcorn County,  Mississippi",35.6,29.1,42.9,
37,"Aleutians East Borough,  Alaska",49.9,39.6,61.3,
38,"Aleutians West Census Area,  Alaska",44.1,36.4,52,
39,"Alexander County,  Illinois",25.6,13.6,41.1,
40,"Alexander County,  North Carolina",34.9,24.2,45.7,
41,"Alexandria City,  Virginia",23.9,20.2,28,
42,"Alfalfa County,  Oklahoma",34.6,25.3,44.9,
43,"Alger County,  Michigan",25.2,17,35.5,
44,"Allamakee County,  Iowa",34.6,26.5,43.3,
45,"Allegan County,  Michigan",33.7,29.1,39.1,
46,"Allegany County,  Maryland",37.2,33.5,41.4,
47,"Allegany County,  New York",36,32,40.5,
48,"Alleghany County,  North Carolina",24.5,15.9,37,
49,"Alleghany County,  Virginia",35.9,27.5,44,
50,"Allegheny County,  Pennsylvania",27.5,25.6,29.6,"1,218,452.00"
51,"Allen County,  Indiana",32.2,29.6,34.9,"375,351.00"
52,"Allen County,  Kansas",38.8,32.7,44.9,
53,"Allen County,  Kentucky",38.3,30.6,46.5,
54,"Allen County,  Ohio",34.1,29.5,39,
55,"Allen Parish,  Louisiana",37.1,27.5,47.3,
56,"Allendale County,  South Carolina",39.7,30.4,49.7,
57,"Alpena County,  Michigan",33.3,25.1,42.4,
58,"Alpine County,  California",20.9,12.3,34.7,
59,"Amador County,  California",29.8,21.1,40,
60,"Amelia County,  Virginia",41.5,32.3,50.5,
61,"Amherst County,  Virginia",35.2,26.4,44.6,
62,"Amite County,  Mississippi",40.1,32.6,48.5,
63,"Anchorage Municipality,  Alaska",31.7,29.3,34.2,"291,538.00"
64,"Anderson County,  Kansas",35.2,28.6,42.2,
65,"Anderson County,  Kentucky",36.7,27.3,46.8,
66,"Anderson County,  South Carolina",34.5,31.3,37.7,
67,"Anderson County,  Tennessee",32.8,25.4,41,
68,"Anderson County,  Texas",36.5,26.7,47.5,
69,"Andrew County,  Missouri",31.3,23.4,40.7,
70,"Andrews County,  Texas",34.8,24.5,47.2,
71,"Androscoggin County,  Maine",33.8,31.4,36.5,
72,"Angelina County,  Texas",41,36.5,45.4,
73,"Anne Arundel County,  Maryland",29.1,27,30.9,"576,031.00"
74,"Anoka County,  Minnesota",29.7,27.7,31.6,"353,813.00"
75,"Anson County,  North Carolina",38.4,26.9,50.4,
76,"Antelope County,  Nebraska",33.1,27.8,39.2,
77,"Antrim County,  Michigan",31.3,23,40.5,
78,"Apache County,  Arizona",33.7,30.5,37.2,
79,"Appanoose County,  Iowa",37.3,28.7,47.5,
80,"Appling County,  Georgia",39,27.5,52.4,
81,"Appomattox County,  Virginia",48.4,36.3,62,
82,"Aransas County,  Texas",41.6,29.6,54.8,
83,"Arapahoe County,  Colorado",21.9,20.3,23.4,"651,215.00"
84,"Archer County,  Texas",25.8,16.8,37.4,
85,"Archuleta County,  Colorado",23.2,16.7,30.4,
86,"Arecibo Municipio,  Puerto Rico",No Data,No Data,No Data,
87,"Arenac County,  Michigan",36,25.4,46.5,
88,"Arkansas County,  Arkansas",30.4,23.2,38.8,
89,"Arlington County,  Virginia",20,17,23.3,"237,521.00"
90,"Armstrong County,  Pennsylvania",43.2,35,51.8,
91,"Armstrong County,  Texas",28.7,17,44.1,
92,"Aroostook County,  Maine",35.6,32.6,38.5,
93,"Arroyo Municipio,  Puerto Rico",No Data,No Data,No Data,
94,"Arthur County,  Nebraska",34.8,23.5,48.3,
95,"Ascension Parish,  Louisiana",32.7,27.3,38.7,
96,"Ashe County,  North Carolina",25.7,17.7,35.4,
97,"Ashland County,  Ohio",32.8,25.4,42.1,
98,"Ashland County,  Wisconsin",33.7,27.7,39.8,
99,"Ashley County,  Arkansas",43,35.3,52,
100,"Ashtabula County,  Ohio",38,31.5,44.4,
101,"Asotin County,  Washington",31.9,27,36.8,
102,"Assumption Parish,  Louisiana",42.1,32.2,52.9,
103,"Atascosa County,  Texas",36.7,26.2,48.4,
104,"Atchison County,  Kansas",44.3,38.8,50.1,
105,"Atchison County,  Missouri",39.3,29.6,50.1,
106,"Athens County,  Ohio",33.6,29.3,38,
107,"Atkinson County,  Georgia",34.7,22,49.2,
108,"Atlantic County,  New Jersey",29.1,26.1,32.1,"265,429.00"
109,"Atoka County,  Oklahoma",41,30.9,52.1,
110,"Attala County,  Mississippi",37.6,30.5,45.6,
111,"Audrain County,  Missouri",35.3,25.8,45.9,
112,"Audubon County,  Iowa",29.6,20.4,40.9,
113,"Auglaize County,  Ohio",38.6,32.8,44.7,
114,"Augusta County,  Virginia",33.2,28.2,38.5,
115,"Aurora County,  South Dakota",36.8,25.4,49.6,
116,"Austin County,  Texas",31.5,23.3,41.9,
117,"Autauga County,  Alabama",33.2,27.2,39.5,
118,"Avery County,  North Carolina",26,16.9,37.1,
119,"Avoyelles Parish,  Louisiana",45.2,37.8,53.1,
120,"Añasco Municipio,  Puerto Rico",No Data,No Data,No Data,
121,"Baca County,  Colorado",30.8,22.4,40.2,
122,"Bacon County,  Georgia",37.5,22.5,52.6,
123,"Bailey County,  Texas",31.2,18.9,47.7,
124,"Baker County,  Florida",37.7,33.5,42.1,
125,"Baker County,  Georgia",35,18.6,54.7,
126,"Baker County,  Oregon",31.3,22.6,41.3,
127,"Baldwin County,  Alabama",31.1,28,34.4,
128,"Baldwin County,  Georgia",37.2,25.6,49.3,
129,"Ballard County,  Kentucky",36.5,27.6,46.1,
130,"Baltimore City,  Maryland",34.8,32.6,37,
131,"Baltimore County,  Maryland",30.5,29,32.3,"828,431.00"
132,"Bamberg County,  South Carolina",37.1,30.1,45.4,
133,"Bandera County,  Texas",28.6,18.1,41.8,
134,"Banks County,  Georgia",34,23.5,45.4,
135,"Banner County,  Nebraska",28,18.2,39.9,
136,"Bannock County,  Idaho",32,28.8,35.4,
137,"Baraga County,  Michigan",36.1,23.4,49.6,
138,"Barber County,  Kansas",26.6,20.4,33.3,
139,"Barbour County,  Alabama",41.7,34.1,49.5,
140,"Barbour County,  West Virginia",37,30.3,44.3,
141,"Barceloneta Municipio,  Puerto Rico",No Data,No Data,No Data,
142,"Barnes County,  North Dakota",36.2,30,42.5,
143,"Barnstable County,  Massachusetts",21.1,18.1,24.7,
144,"Barnwell County,  South Carolina",38.7,33.1,44.9,
145,"Barranquitas Municipio,  Puerto Rico",No Data,No Data,No Data,
146,"Barren County,  Kentucky",33.8,28.2,39.9,
147,"Barron County,  Wisconsin",42.2,33.7,50,
148,"Barrow County,  Georgia",38.3,29.3,48.1,
149,"Barry County,  Michigan",37.7,31.4,44.3,
150,"Barry County,  Missouri",38.5,29.6,47.7,
151,"Bartholomew County,  Indiana",32,27,37.2,
152,"Barton County,  Kansas",39.1,34.4,43.9,
153,"Barton County,  Missouri",25.3,16,36.2,
154,"Bartow County,  Georgia",31,24.5,38.4,
155,"Bastrop County,  Texas",38.2,30.6,46.8,
156,"Bates County,  Missouri",36.8,27.9,45.5,
157,"Bath County,  Kentucky",42.2,34.1,51.1,
158,"Bath County,  Virginia",24,14.9,36,
159,"Baxter County,  Arkansas",35.1,28.8,41.8,
160,"Bay County,  Florida",29,26,32.2,
161,"Bay County,  Michigan",36,30.7,41.8,
162,"Bayamón Municipio,  Puerto Rico",No Data,No Data,No Data,
163,"Bayfield County,  Wisconsin",29.4,23.9,35.7,
164,"Baylor County,  Texas",26.2,15.6,40,
165,"Beadle County,  South Dakota",35.5,28.9,42.8,
166,"Bear Lake County,  Idaho",26.2,18.6,35.5,
167,"Beaufort County,  North Carolina",39.5,31,48.6,
168,"Beaufort County,  South Carolina",24.1,21.4,27,
169,"Beauregard Parish,  Louisiana",36.2,28.5,44.3,
170,"Beaver County,  Oklahoma",36.7,27.6,46.4,
171,"Beaver County,  Pennsylvania",33.3,27.8,38.7,
172,"Beaver County,  Utah",24.4,16.9,33.2,
173,"Beaverhead County,  Montana",26.5,20.3,33.8,
174,"Becker County,  Minnesota",29.9,26.2,33.8,
175,"Beckham County,  Oklahoma",34.7,27,43.1,
176,"Bedford City,  Virginia",No Data,No Data,No Data,
177,"Bedford County,  Pennsylvania",29.5,22.3,38.2,
178,"Bedford County,  Tennessee",33.7,26.2,41.8,
179,"Bedford County,  Virginia",34.2,28.2,40.2,
180,"Bee County,  Texas",30.6,19.3,44.4,
181,"Belknap County,  New Hampshire",28.5,25.1,31.9,
182,"Bell County,  Kentucky",37.4,30.3,44.4,
183,"Bell County,  Texas",34.9,29.9,40.4,"355,642.00"
184,"Belmont County,  Ohio",34.9,30.6,39.5,
185,"Beltrami County,  Minnesota",33.9,30.4,37.3,
186,"Ben Hill County,  Georgia",39.7,27.5,51.8,
187,"Benewah County,  Idaho",31.8,24.3,40.4,
188,"Bennett County,  South Dakota",42,36.2,47.6,
189,"Bennington County,  Vermont",29.9,26.9,32.8,
190,"Benson County,  North Dakota",37.9,29.3,47.8,
191,"Bent County,  Colorado",29.9,21.6,39.3,
192,"Benton County,  Arkansas",29.2,25.8,32.7,"272,608.00"
193,"Benton County,  Indiana",32.9,23.3,43.5,
194,"Benton County,  Iowa",35.9,28.9,43.7,
195,"Benton County,  Minnesota",30.2,25.7,34.7,
196,"Benton County,  Mississippi",40.1,27.4,52.7,
197,"Benton County,  Missouri",34,24.4,44.6,
198,"Benton County,  Oregon",25,20.8,29.1,
199,"Benton County,  Tennessee",34.3,25.2,44.4,
200,"Benton County,  Washington",30.7,27.5,34.3,
201,"Benzie County,  Michigan",38,27.8,49,
202,"Bergen County,  New Jersey",21.8,19.4,24.3,"936,692.00"
203,"Berkeley County,  South Carolina",34.9,31.9,38.1,
204,"Berkeley County,  West Virginia",36.6,32.9,40.3,
205,"Berks County,  Pennsylvania",36.3,30.7,42.2,"420,152.00"
206,"Berkshire County,  Massachusetts",25.6,21.1,30.5,
207,"Bernalillo County,  New Mexico",23.4,21.4,25.6,"678,701.00"
208,"Berrien County,  Georgia",39.7,29,51.1,
209,"Berrien County,  Michigan",32.8,28.3,37.6,
210,"Bertie County,  North Carolina",43.4,35.3,51.7,
211,"Bethel Census Area,  Alaska",30.8,26,36.2,
212,"Bexar County,  Texas",28.5,25.4,31.8,"1,986,049.00"
213,"Bibb County,  Alabama",37.7,30,46.7,
214,"Bibb County,  Georgia",36.5,29.9,43.2,
215,"Bienville Parish,  Louisiana",45.5,33,57.4,
216,"Big Horn County,  Montana",37.9,33,43.4,
217,"Big Horn County,  Wyoming",32.5,27,37.8,
218,"Big Stone County,  Minnesota",33.7,25.2,43.6,
219,"Billings County,  North Dakota",29,18.6,40.2,
220,"Bingham County,  Idaho",31,26.7,35.2,
221,"Black Hawk County,  Iowa",30.5,26.9,33.7,
222,"Blackford County,  Indiana",34.1,24.4,44.6,
223,"Bladen County,  North Carolina",44,34.2,54.4,
224,"Blaine County,  Idaho",14.6,10.7,19.2,
225,"Blaine County,  Montana",39.3,34.6,43.8,
226,"Blaine County,  Nebraska",34.8,23.7,47.4,
227,"Blaine County,  Oklahoma",33.9,26.1,42.7,
228,"Blair County,  Pennsylvania",30.6,24.8,37,
229,"Blanco County,  Texas",28.3,17,42.9,
230,"Bland County,  Virginia",27.6,18.6,39.6,
231,"Bleckley County,  Georgia",43,28.4,58.1,
232,"Bledsoe County,  Tennessee",32.5,23.3,42.5,
233,"Blount County,  Alabama",33.7,27.7,39.9,
234,"Blount County,  Tennessee",32.8,25.9,40.1,
235,"Blue Earth County,  Minnesota",33.6,29.7,37.6,
236,"Boise County,  Idaho",30,21.6,39,
237,"Bolivar County,  Mississippi",39,33.1,45.1,
238,"Bollinger County,  Missouri",32.1,22.8,42.6,
239,"Bon Homme County,  South Dakota",40.1,28.9,51.2,
240,"Bond County,  Illinois",24.8,15,38.2,
241,"Bonner County,  Idaho",25.2,20.9,29.7,
242,"Bonneville County,  Idaho",28.9,26.1,31.7,
243,"Boone County,  Arkansas",35,28,41.8,
244,"Boone County,  Illinois",33.1,24.7,42.6,
245,"Boone County,  Indiana",26.9,22,32.4,
246,"Boone County,  Iowa",35.5,28.3,42.5,
247,"Boone County,  Kentucky",35.6,30.9,40.3,
248,"Boone County,  Missouri",26.3,22.5,30.4,
249,"Boone County,  Nebraska",33,27.2,39.2,
250,"Boone County,  West Virginia",40.3,34.3,46.5,
251,"Borden County,  Texas",26.4,15.4,40.4,
252,"Bosque County,  Texas",32,19.3,47.1,
253,"Bossier Parish,  Louisiana",30.8,25.6,36.6,
254,"Botetourt County,  Virginia",24.3,17.7,32.2,
255,"Bottineau County,  North Dakota",33.7,27.8,39.7,
256,"Boulder County,  Colorado",15.1,13.4,17,"326,078.00"
257,"Boundary County,  Idaho",28.1,20.9,36.3,
258,"Bourbon County,  Kansas",35.1,29.7,40.4,
259,"Bourbon County,  Kentucky",30,20.5,40.9,
260,"Bowie County,  Texas",47.7,37.8,57.5,
261,"Bowman County,  North Dakota",22.4,16.3,30.2,
262,"Box Butte County,  Nebraska",36.1,31.6,41,
263,"Box Elder County,  Utah",31.8,28,36,
264,"Boyd County,  Kentucky",40.7,36.5,45.5,
265,"Boyd County,  Nebraska",36.6,28.4,44.6,
266,"Boyle County,  Kentucky",28.3,20.1,38,
267,"Bracken County,  Kentucky",31.7,23,42.1,
268,"Bradford County,  Florida",36.8,32.7,41.1,
269,"Bradford County,  Pennsylvania",37.9,31.3,44.9,
270,"Bradley County,  Arkansas",46.9,34.3,60,
271,"Bradley County,  Tennessee",38.3,33,43.4,
272,"Branch County,  Michigan",38.2,30.4,47.1,
273,"Brantley County,  Georgia",32.6,20.8,45.4,
274,"Braxton County,  West Virginia",34.8,27,42.6,
275,"Brazoria County,  Texas",27.8,21.4,34.3,"370,200.00"
276,"Brazos County,  Texas",29.2,26.2,32.3,"226,758.00"
277,"Breathitt County,  Kentucky",38.1,32.1,45,
278,"Breckinridge County,  Kentucky",23.3,17.1,30.4,
279,"Bremer County,  Iowa",32.7,25.6,41.1,
280,"Brevard County,  Florida",30,26.8,33.1,"596,849.00"
281,"Brewster County,  Texas",25.6,16,37.6,
282,"Briscoe County,  Texas",25.5,14.9,39.4,
283,"Bristol Bay Borough,  Alaska",41.3,32.8,49.9,
284,"Bristol City,  Virginia",29,19.1,41.4,
285,"Bristol County,  Massachusetts",28.7,26.3,31,"564,022.00"
286,"Bristol County,  Rhode Island",22.5,19.1,26,
287,"Broadwater County,  Montana",33.4,23.5,45.1,
288,"Bronx County,  New York",28.8,26.3,31.7,"1,432,132.00"
289,"Brooke County,  West Virginia",36,28.8,42.9,
290,"Brookings County,  South Dakota",28.8,26.1,31.6,
291,"Brooks County,  Georgia",33,23.2,44.5,
292,"Brooks County,  Texas",37.2,24.1,51.2,
293,"Broome County,  New York",27.7,24.5,31.3,
294,"Broomfield County,  Colorado",19.2,15.3,23.2,
295,"Broward County,  Florida",24.4,22.2,26.8,"1,951,260.00"
296,"Brown County,  Illinois",23.5,14.5,36,
297,"Brown County,  Indiana",30.9,23.2,39.2,
298,"Brown County,  Kansas",37.4,31.2,43.5,
299,"Brown County,  Minnesota",32.6,26.9,38.3,
300,"Brown County,  Nebraska",38.9,31.5,46.7,
301,"Brown County,  Ohio",34.2,27.4,41.6,
302,"Brown County,  South Dakota",31.4,28.2,34.2,
303,"Brown County,  Texas",39.4,30,50.7,
304,"Brown County,  Wisconsin",32.5,28.5,37,"263,378.00"
305,"Brule County,  South Dakota",28.5,20.5,37.6,
306,"Brunswick County,  North Carolina",29.3,23.3,36,
307,"Brunswick County,  Virginia",42.1,31.5,52.6,
308,"Bryan County,  Georgia",34.9,24.6,45.5,
309,"Bryan County,  Oklahoma",33.3,27.4,40,
310,"Buchanan County,  Iowa",32.6,26.2,39.8,
311,"Buchanan County,  Missouri",38.3,33.6,43.2,
312,"Buchanan County,  Virginia",33.7,26.1,42.4,
313,"Buckingham County,  Virginia",39.9,30.3,48.7,
314,"Bucks County,  Pennsylvania",26.2,22.5,30.1,"628,195.00"
315,"Buena Vista City,  Virginia",25.5,14.9,38.9,
316,"Buena Vista County,  Iowa",33.8,28.3,40.4,
317,"Buffalo County,  Nebraska",29.6,26.5,32.9,
318,"Buffalo County,  South Dakota",47.6,38.1,57.6,
319,"Buffalo County,  Wisconsin",23.7,16,34.7,
320,"Bullitt County,  Kentucky",34,28.7,39.5,
321,"Bulloch County,  Georgia",30.2,23.2,37.4,
322,"Bullock County,  Alabama",37.1,22.7,51.7,
323,"Buncombe County,  North Carolina",21.7,17.8,25.3,"259,103.00"
324,"Bureau County,  Illinois",26.7,18.5,36.5,
325,"Burke County,  Georgia",34.2,22.7,46.4,
326,"Burke County,  North Carolina",36.9,29.5,44.6,
327,"Burke County,  North Dakota",37.9,27.7,47.8,
328,"Burleigh County,  North Dakota",30.6,28.4,32.9,
329,"Burleson County,  Texas",38.9,24.6,55,
330,"Burlington County,  New Jersey",28.6,25.9,31.5,"445,384.00"
331,"Burnet County,  Texas",31.5,22.3,40.9,
332,"Burnett County,  Wisconsin",35,23.9,48.1,
333,"Burt County,  Nebraska",36.1,31,41.7,
334,"Butler County,  Alabama",43.9,35.8,51.9,
335,"Butler County,  Iowa",33.2,25.5,42,
336,"Butler County,  Kansas",35.3,32,38.7,
337,"Butler County,  Kentucky",30.9,22.9,40.8,
338,"Butler County,  Missouri",37.8,30.9,44.9,
339,"Butler County,  Nebraska",34,28.8,39.8,
340,"Butler County,  Ohio",32.1,28,36.1,"382,378.00"
341,"Butler County,  Pennsylvania",30.6,25.7,35.8,
342,"Butte County,  California",27.2,22.2,32.7,"231,256.00"
343,"Butte County,  Idaho",28.3,19.5,37.8,
344,"Butte County,  South Dakota",31.9,26,37.8,
345,"Butts County,  Georgia",33.5,19.1,49.3,
346,"Cabarrus County,  North Carolina",35.6,29.7,41.8,
347,"Cabell County,  West Virginia",33.2,30,36.6,
348,"Cabo Rojo Municipio,  Puerto Rico",No Data,No Data,No Data,
349,"Cache County,  Utah",26.4,24,28.9,
350,"Caddo County,  Oklahoma",44.2,37.1,50.9,
351,"Caddo Parish,  Louisiana",40.1,36.3,44.2,"242,922.00"
352,"Caguas Municipio,  Puerto Rico",No Data,No Data,No Data,
353,"Calaveras County,  California",30.4,21.1,41.2,
354,"Calcasieu Parish,  Louisiana",35.4,31.6,39.5,
355,"Caldwell County,  Kentucky",33.8,25.3,42.7,
356,"Caldwell County,  Missouri",32.2,22.6,44.2,
357,"Caldwell County,  North Carolina",39.4,30.5,48.4,
358,"Caldwell County,  Texas",39.2,29.2,49.5,
359,"Caldwell Parish,  Louisiana",39.9,30.3,49.6,
360,"Caledonia County,  Vermont",32.1,29,35.3,
361,"Calhoun County,  Alabama",38.5,34.6,42.5,
362,"Calhoun County,  Arkansas",29,19.2,40.3,
363,"Calhoun County,  Florida",36.6,32.4,40.9,
364,"Calhoun County,  Georgia",27,14.8,43.7,
365,"Calhoun County,  Illinois",36.3,22,52.4,
366,"Calhoun County,  Iowa",36.4,27.7,45.8,
367,"Calhoun County,  Michigan",33.6,28.6,39,
368,"Calhoun County,  Mississippi",38.4,30.6,47.1,
369,"Calhoun County,  South Carolina",38.5,30.7,46.9,
370,"Calhoun County,  Texas",30.5,20.5,42.2,
371,"Calhoun County,  West Virginia",31.2,22.7,40.4,
372,"Callahan County,  Texas",35.4,24.3,48.6,
373,"Callaway County,  Missouri",37.3,29.9,45.2,
374,"Calloway County,  Kentucky",33.1,27.2,39,
375,"Calumet County,  Wisconsin",26.5,19.2,34.5,
376,"Calvert County,  Maryland",31.4,28.1,34.6,
377,"Camas County,  Idaho",23.3,14.8,35.5,
378,"Cambria County,  Pennsylvania",26.5,21,32.3,
379,"Camden County,  Georgia",39.1,30.6,47.8,
380,"Camden County,  Missouri",22,15.8,29.1,
