,Location,Obesity Percentage,Lower Limit,Upper Limit,Population
0,"AbbevilleCounty,SouthCarolina",37,30.7,43.2,
1,"AcadiaParish,Louisiana",38.4,31,46,
2,"AccomackCounty,Virginia",36.7,30.6,43.4,
3,"AdaCounty,Idaho",25.3,23.3,27.3,469966.0
4,"AdairCounty,Iowa",31.3,22.1,42.4,
5,"AdairCounty,Kentucky",41.6,33.2,50.1,
6,"AdairCounty,Missouri",28.2,21.4,35.3,
7,"AdairCounty,Oklahoma",48,37.6,57.5,
8,"AdamsCounty,Colorado",27.7,25.7,29.8,511868.0
9,"AdamsCounty,Idaho",30.2,21.7,40,
10,"AdamsCounty,Illinois",37,28.1,46.6,
11,"AdamsCounty,Indiana",34.8,27.6,43.3,
12,"AdamsCounty,Iowa",29.7,20.5,41.4,
13,"AdamsCounty,Mississippi",35.1,29.3,40.9,
14,"AdamsCounty,Nebraska",36.8,33.6,40,
15,"AdamsCounty,NorthDakota",29.6,21.4,38.9,
16,"AdamsCounty,Ohio",32.3,24.9,40.1,
17,"AdamsCounty,Pennsylvania",35.6,28,44.2,
18,"AdamsCounty,Washington",36.9,30.6,43,
19,"AdamsCounty,Wisconsin",29.5,21.3,39.4,
20,"AddisonCounty,Vermont",24.8,22.2,27.7,
21,"AdjuntasMunicipio,PuertoRico",No Data,No Data,No Data,
22,"AguadaMunicipio,PuertoRico",No Data,No Data,No Data,
23,"AguadillaMunicipio,PuertoRico",No Data,No Data,No Data,
24,"AguasBuenasMunicipio,PuertoRico",No Data,No Data,No Data,
25,"AibonitoMunicipio,PuertoRico",No Data,No Data,No Data,
26,"AikenCounty,SouthCarolina",36.4,33.3,39.5,
27,"AitkinCounty,Minnesota",28.8,23.4,34.6,
28,"AlachuaCounty,Florida",26.9,24.4,29.8,269956.0
29,"AlamanceCounty,NorthCarolina",32.3,26.4,38.6,
30,"AlamedaCounty,California",19.2,17.3,21.5,1666753.0
31,"AlamosaCounty,Colorado",24,17.9,30.7,
32,"AlbanyCounty,NewYork",27,24.2,29.7,307117.0
33,"AlbanyCounty,Wyoming",24.2,21.1,28,
34,"AlbemarleCounty,Virginia",20.3,16.9,24.2,
35,"AlconaCounty,Michigan",35.2,23.5,48.6,
36,"AlcornCounty,Mississippi",35.6,29.1,42.9,
37,"AleutiansEastBorough,Alaska",49.9,39.6,61.3,
38,"AleutiansWestCensusArea,Alaska",44.1,36.4,52,
39,"AlexanderCounty,Illinois",25.6,13.6,41.1,
40,"AlexanderCounty,NorthCarolina",34.9,24.2,45.7,
41,"AlexandriaCity,Virginia",23.9,20.2,28,
42,"AlfalfaCounty,Oklahoma",34.6,25.3,44.9,
43,"AlgerCounty,Michigan",25.2,17,35.5,
44,"AllamakeeCounty,Iowa",34.6,26.5,43.3,
45,"AlleganCounty,Michigan",33.7,29.1,39.1,
46,"AlleganyCounty,Maryland",37.2,33.5,41.4,
47,"AlleganyCounty,NewYork",36,32,40.5,
48,"AlleghanyCounty,NorthCarolina",24.5,15.9,37,
49,"AlleghanyCounty,Virginia",35.9,27.5,44,
50,"AlleghenyCounty,Pennsylvania",27.5,25.6,29.6,1218452.0
51,"AllenCounty,Indiana",32.2,29.6,34.9,375351.0
52,"AllenCounty,Kansas",38.8,32.7,44.9,
53,"AllenCounty,Kentucky",38.3,30.6,46.5,
54,"AllenCounty,Ohio",34.1,29.5,39,
55,"AllenParish,Louisiana",37.1,27.5,47.3,
56,"AllendaleCounty,SouthCarolina",39.7,30.4,49.7,
57,"AlpenaCounty,Michigan",33.3,25.1,42.4,
58,"AlpineCounty,California",20.9,12.3,34.7,
59,"AmadorCounty,California",29.8,21.1,40,
60,"AmeliaCounty,Virginia",41.5,32.3,50.5,
61,"AmherstCounty,Virginia",35.2,26.4,44.6,
62,"AmiteCounty,Mississippi",40.1,32.6,48.5,
63,"AnchorageMunicipality,Alaska",31.7,29.3,34.2,291538.0
64,"AndersonCounty,Kansas",35.2,28.6,42.2,
65,"AndersonCounty,Kentucky",36.7,27.3,46.8,
66,"AndersonCounty,SouthCarolina",34.5,31.3,37.7,
67,"AndersonCounty,Tennessee",32.8,25.4,41,
68,"AndersonCounty,Texas",36.5,26.7,47.5,
69,"AndrewCounty,Missouri",31.3,23.4,40.7,
70,"AndrewsCounty,Texas",34.8,24.5,47.2,
71,"AndroscogginCounty,Maine",33.8,31.4,36.5,
72,"AngelinaCounty,Texas",41,36.5,45.4,
73,"AnneArundelCounty,Maryland",29.1,27,30.9,576031.0
74,"AnokaCounty,Minnesota",29.7,27.7,31.6,353813.0
75,"AnsonCounty,NorthCarolina",38.4,26.9,50.4,
76,"AntelopeCounty,Nebraska",33.1,27.8,39.2,
77,"AntrimCounty,Michigan",31.3,23,40.5,
78,"ApacheCounty,Arizona",33.7,30.5,37.2,
79,"AppanooseCounty,Iowa",37.3,28.7,47.5,
80,"ApplingCounty,Georgia",39,27.5,52.4,
81,"AppomattoxCounty,Virginia",48.4,36.3,62,
82,"AransasCounty,Texas",41.6,29.6,54.8,
83,"ArapahoeCounty,Colorado",21.9,20.3,23.4,651215.0
84,"ArcherCounty,Texas",25.8,16.8,37.4,
85,"ArchuletaCounty,Colorado",23.2,16.7,30.4,
86,"AreciboMunicipio,PuertoRico",No Data,No Data,No Data,
87,"ArenacCounty,Michigan",36,25.4,46.5,
88,"ArkansasCounty,Arkansas",30.4,23.2,38.8,
89,"ArlingtonCounty,Virginia",20,17,23.3,237521.0
90,"ArmstrongCounty,Pennsylvania",43.2,35,51.8,
91,"ArmstrongCounty,Texas",28.7,17,44.1,
92,"AroostookCounty,Maine",35.6,32.6,38.5,
93,"ArroyoMunicipio,PuertoRico",No Data,No Data,No Data,
94,"ArthurCounty,Nebraska",34.8,23.5,48.3,
95,"AscensionParish,Louisiana",32.7,27.3,38.7,
96,"AsheCounty,NorthCarolina",25.7,17.7,35.4,
97,"AshlandCounty,Ohio",32.8,25.4,42.1,
98,"AshlandCounty,Wisconsin",33.7,27.7,39.8,
99,"AshleyCounty,Arkansas",43,35.3,52,
100,"AshtabulaCounty,Ohio",38,31.5,44.4,
101,"AsotinCounty,Washington",31.9,27,36.8,
102,"AssumptionParish,Louisiana",42.1,32.2,52.9,
103,"AtascosaCounty,Texas",36.7,26.2,48.4,
104,"AtchisonCounty,Kansas",44.3,38.8,50.1,
105,"AtchisonCounty,Missouri",39.3,29.6,50.1,
106,"AthensCounty,Ohio",33.6,29.3,38,
107,"AtkinsonCounty,Georgia",34.7,22,49.2,
108,"AtlanticCounty,NewJersey",29.1,26.1,32.1,265429.0
109,"AtokaCounty,Oklahoma",41,30.9,52.1,
110,"AttalaCounty,Mississippi",37.6,30.5,45.6,
111,"AudrainCounty,Missouri",35.3,25.8,45.9,
112,"AudubonCounty,Iowa",29.6,20.4,40.9,
113,"AuglaizeCounty,Ohio",38.6,32.8,44.7,
114,"AugustaCounty,Virginia",33.2,28.2,38.5,
115,"AuroraCounty,SouthDakota",36.8,25.4,49.6,
116,"AustinCounty,Texas",31.5,23.3,41.9,
117,"AutaugaCounty,Alabama",33.2,27.2,39.5,
118,"AveryCounty,NorthCarolina",26,16.9,37.1,
119,"AvoyellesParish,Louisiana",45.2,37.8,53.1,
120,"AñascoMunicipio,PuertoRico",No Data,No Data,No Data,
121,"BacaCounty,Colorado",30.8,22.4,40.2,
122,"BaconCounty,Georgia",37.5,22.5,52.6,
123,"BaileyCounty,Texas",31.2,18.9,47.7,
124,"BakerCounty,Florida",37.7,33.5,42.1,
125,"BakerCounty,Georgia",35,18.6,54.7,
126,"BakerCounty,Oregon",31.3,22.6,41.3,
127,"BaldwinCounty,Alabama",31.1,28,34.4,
128,"BaldwinCounty,Georgia",37.2,25.6,49.3,
129,"BallardCounty,Kentucky",36.5,27.6,46.1,
130,"BaltimoreCity,Maryland",34.8,32.6,37,
131,"BaltimoreCounty,Maryland",30.5,29,32.3,828431.0
132,"BambergCounty,SouthCarolina",37.1,30.1,45.4,
133,"BanderaCounty,Texas",28.6,18.1,41.8,
134,"BanksCounty,Georgia",34,23.5,45.4,
135,"BannerCounty,Nebraska",28,18.2,39.9,
136,"BannockCounty,Idaho",32,28.8,35.4,
137,"BaragaCounty,Michigan",36.1,23.4,49.6,
138,"BarberCounty,Kansas",26.6,20.4,33.3,
139,"BarbourCounty,Alabama",41.7,34.1,49.5,
140,"BarbourCounty,WestVirginia",37,30.3,44.3,
141,"BarcelonetaMunicipio,PuertoRico",No Data,No Data,No Data,
142,"BarnesCounty,NorthDakota",36.2,30,42.5,
143,"BarnstableCounty,Massachusetts",21.1,18.1,24.7,
144,"BarnwellCounty,SouthCarolina",38.7,33.1,44.9,
145,"BarranquitasMunicipio,PuertoRico",No Data,No Data,No Data,
146,"BarrenCounty,Kentucky",33.8,28.2,39.9,
147,"BarronCounty,Wisconsin",42.2,33.7,50,
148,"BarrowCounty,Georgia",38.3,29.3,48.1,
149,"BarryCounty,Michigan",37.7,31.4,44.3,
150,"BarryCounty,Missouri",38.5,29.6,47.7,
151,"BartholomewCounty,Indiana",32,27,37.2,
152,"BartonCounty,Kansas",39.1,34.4,43.9,
153,"BartonCounty,Missouri",25.3,16,36.2,
154,"BartowCounty,Georgia",31,24.5,38.4,
155,"BastropCounty,Texas",38.2,30.6,46.8,
156,"BatesCounty,Missouri",36.8,27.9,45.5,
157,"BathCounty,Kentucky",42.2,34.1,51.1,
158,"BathCounty,Virginia",24,14.9,36,
159,"BaxterCounty,Arkansas",35.1,28.8,41.8,
160,"BayCounty,Florida",29,26,32.2,
161,"BayCounty,Michigan",36,30.7,41.8,
162,"BayamónMunicipio,PuertoRico",No Data,No Data,No Data,
163,"BayfieldCounty,Wisconsin",29.4,23.9,35.7,
164,"BaylorCounty,Texas",26.2,15.6,40,
165,"BeadleCounty,SouthDakota",35.5,28.9,42.8,
166,"BearLakeCounty,Idaho",26.2,18.6,35.5,
167,"BeaufortCounty,NorthCarolina",39.5,31,48.6,
168,"BeaufortCounty,SouthCarolina",24.1,21.4,27,
169,"BeauregardParish,Louisiana",36.2,28.5,44.3,
170,"BeaverCounty,Oklahoma",36.7,27.6,46.4,
171,"BeaverCounty,Pennsylvania",33.3,27.8,38.7,
172,"BeaverCounty,Utah",24.4,16.9,33.2,
173,"BeaverheadCounty,Montana",26.5,20.3,33.8,
174,"BeckerCounty,Minnesota",29.9,26.2,33.8,
175,"BeckhamCounty,Oklahoma",34.7,27,43.1,
176,"BedfordCity,Virginia",No Data,No Data,No Data,
177,"BedfordCounty,Pennsylvania",29.5,22.3,38.2,
178,"BedfordCounty,Tennessee",33.7,26.2,41.8,
179,"BedfordCounty,Virginia",34.2,28.2,40.2,
180,"BeeCounty,Texas",30.6,19.3,44.4,
181,"BelknapCounty,NewHampshire",28.5,25.1,31.9,
182,"BellCounty,Kentucky",37.4,30.3,44.4,
183,"BellCounty,Texas",34.9,29.9,40.4,355642.0
184,"BelmontCounty,Ohio",34.9,30.6,39.5,
185,"BeltramiCounty,Minnesota",33.9,30.4,37.3,
186,"BenHillCounty,Georgia",39.7,27.5,51.8,
187,"BenewahCounty,Idaho",31.8,24.3,40.4,
188,"BennettCounty,SouthDakota",42,36.2,47.6,
189,"BenningtonCounty,Vermont",29.9,26.9,32.8,
190,"BensonCounty,NorthDakota",37.9,29.3,47.8,
191,"BentCounty,Colorado",29.9,21.6,39.3,
192,"BentonCounty,Arkansas",29.2,25.8,32.7,272608.0
193,"BentonCounty,Indiana",32.9,23.3,43.5,
194,"BentonCounty,Iowa",35.9,28.9,43.7,
195,"BentonCounty,Minnesota",30.2,25.7,34.7,
196,"BentonCounty,Mississippi",40.1,27.4,52.7,
197,"BentonCounty,Missouri",34,24.4,44.6,
198,"BentonCounty,Oregon",25,20.8,29.1,
199,"BentonCounty,Tennessee",34.3,25.2,44.4,
200,"BentonCounty,Washington",30.7,27.5,34.3,
201,"BenzieCounty,Michigan",38,27.8,49,
202,"BergenCounty,NewJersey",21.8,19.4,24.3,936692.0
203,"BerkeleyCounty,SouthCarolina",34.9,31.9,38.1,
204,"BerkeleyCounty,WestVirginia",36.6,32.9,40.3,
205,"BerksCounty,Pennsylvania",36.3,30.7,42.2,420152.0
206,"BerkshireCounty,Massachusetts",25.6,21.1,30.5,
207,"BernalilloCounty,NewMexico",23.4,21.4,25.6,678701.0
208,"BerrienCounty,Georgia",39.7,29,51.1,
209,"BerrienCounty,Michigan",32.8,28.3,37.6,
210,"BertieCounty,NorthCarolina",43.4,35.3,51.7,
211,"BethelCensusArea,Alaska",30.8,26,36.2,
212,"BexarCounty,Texas",28.5,25.4,31.8,1986049.0
213,"BibbCounty,Alabama",37.7,30,46.7,
214,"BibbCounty,Georgia",36.5,29.9,43.2,
215,"BienvilleParish,Louisiana",45.5,33,57.4,
216,"BigHornCounty,Montana",37.9,33,43.4,
217,"BigHornCounty,Wyoming",32.5,27,37.8,
218,"BigStoneCounty,Minnesota",33.7,25.2,43.6,
219,"BillingsCounty,NorthDakota",29,18.6,40.2,
220,"BinghamCounty,Idaho",31,26.7,35.2,
221,"BlackHawkCounty,Iowa",30.5,26.9,33.7,
222,"BlackfordCounty,Indiana",34.1,24.4,44.6,
223,"BladenCounty,NorthCarolina",44,34.2,54.4,
224,"BlaineCounty,Idaho",14.6,10.7,19.2,
225,"BlaineCounty,Montana",39.3,34.6,43.8,
226,"BlaineCounty,Nebraska",34.8,23.7,47.4,
227,"BlaineCounty,Oklahoma",33.9,26.1,42.7,
228,"BlairCounty,Pennsylvania",30.6,24.8,37,
229,"BlancoCounty,Texas",28.3,17,42.9,
230,"BlandCounty,Virginia",27.6,18.6,39.6,
231,"BleckleyCounty,Georgia",43,28.4,58.1,
232,"BledsoeCounty,Tennessee",32.5,23.3,42.5,
233,"BlountCounty,Alabama",33.7,27.7,39.9,
234,"BlountCounty,Tennessee",32.8,25.9,40.1,
235,"BlueEarthCounty,Minnesota",33.6,29.7,37.6,
236,"BoiseCounty,Idaho",30,21.6,39,
237,"BolivarCounty,Mississippi",39,33.1,45.1,
238,"BollingerCounty,Missouri",32.1,22.8,42.6,
239,"BonHommeCounty,SouthDakota",40.1,28.9,51.2,
240,"BondCounty,Illinois",24.8,15,38.2,
241,"BonnerCounty,Idaho",25.2,20.9,29.7,
242,"BonnevilleCounty,Idaho",28.9,26.1,31.7,
243,"BooneCounty,Arkansas",35,28,41.8,
244,"BooneCounty,Illinois",33.1,24.7,42.6,
245,"BooneCounty,Indiana",26.9,22,32.4,
246,"BooneCounty,Iowa",35.5,28.3,42.5,
247,"BooneCounty,Kentucky",35.6,30.9,40.3,
248,"BooneCounty,Missouri",26.3,22.5,30.4,
249,"BooneCounty,Nebraska",33,27.2,39.2,
250,"BooneCounty,WestVirginia",40.3,34.3,46.5,
251,"BordenCounty,Texas",26.4,15.4,40.4,
252,"BosqueCounty,Texas",32,19.3,47.1,
253,"BossierParish,Louisiana",30.8,25.6,36.6,
254,"BotetourtCounty,Virginia",24.3,17.7,32.2,
255,"BottineauCounty,NorthDakota",33.7,27.8,39.7,
256,"BoulderCounty,Colorado",15.1,13.4,17,326078.0
257,"BoundaryCounty,Idaho",28.1,20.9,36.3,
258,"BourbonCounty,Kansas",35.1,29.7,40.4,
259,"BourbonCounty,Kentucky",30,20.5,40.9,
260,"BowieCounty,Texas",47.7,37.8,57.5,
261,"BowmanCounty,NorthDakota",22.4,16.3,30.2,
262,"BoxButteCounty,Nebraska",36.1,31.6,41,
263,"BoxElderCounty,Utah",31.8,28,36,
264,"BoydCounty,Kentucky",40.7,36.5,45.5,
265,"BoydCounty,Nebraska",36.6,28.4,44.6,
266,"BoyleCounty,Kentucky",28.3,20.1,38,
267,"BrackenCounty,Kentucky",31.7,23,42.1,
268,"BradfordCounty,Florida",36.8,32.7,41.1,
269,"BradfordCounty,Pennsylvania",37.9,31.3,44.9,
270,"BradleyCounty,Arkansas",46.9,34.3,60,
271,"BradleyCounty,Tennessee",38.3,33,43.4,
272,"BranchCounty,Michigan",38.2,30.4,47.1,
273,"BrantleyCounty,Georgia",32.6,20.8,45.4,
274,"BraxtonCounty,WestVirginia",34.8,27,42.6,
275,"BrazoriaCounty,Texas",27.8,21.4,34.3,370200.0
276,"BrazosCounty,Texas",29.2,26.2,32.3,226758.0
277,"BreathittCounty,Kentucky",38.1,32.1,45,
278,"BreckinridgeCounty,Kentucky",23.3,17.1,30.4,
279,"BremerCounty,Iowa",32.7,25.6,41.1,
280,"BrevardCounty,Florida",30,26.8,33.1,596849.0
281,"BrewsterCounty,Texas",25.6,16,37.6,
282,"BriscoeCounty,Texas",25.5,14.9,39.4,
283,"BristolBayBorough,Alaska",41.3,32.8,49.9,
284,"BristolCity,Virginia",29,19.1,41.4,
285,"BristolCounty,Massachusetts",28.7,26.3,31,564022.0
286,"BristolCounty,RhodeIsland",22.5,19.1,26,
287,"BroadwaterCounty,Montana",33.4,23.5,45.1,
288,"BronxCounty,NewYork",28.8,26.3,31.7,1432132.0
289,"BrookeCounty,WestVirginia",36,28.8,42.9,
290,"BrookingsCounty,SouthDakota",28.8,26.1,31.6,
291,"BrooksCounty,Georgia",33,23.2,44.5,
292,"BrooksCounty,Texas",37.2,24.1,51.2,
293,"BroomeCounty,NewYork",27.7,24.5,31.3,
294,"BroomfieldCounty,Colorado",19.2,15.3,23.2,
295,"BrowardCounty,Florida",24.4,22.2,26.8,1951260.0
296,"BrownCounty,Illinois",23.5,14.5,36,
297,"BrownCounty,Indiana",30.9,23.2,39.2,
298,"BrownCounty,Kansas",37.4,31.2,43.5,
299,"BrownCounty,Minnesota",32.6,26.9,38.3,
300,"BrownCounty,Nebraska",38.9,31.5,46.7,
301,"BrownCounty,Ohio",34.2,27.4,41.6,
302,"BrownCounty,SouthDakota",31.4,28.2,34.2,
303,"BrownCounty,Texas",39.4,30,50.7,
304,"BrownCounty,Wisconsin",32.5,28.5,37,263378.0
305,"BruleCounty,SouthDakota",28.5,20.5,37.6,
306,"BrunswickCounty,NorthCarolina",29.3,23.3,36,
307,"BrunswickCounty,Virginia",42.1,31.5,52.6,
308,"BryanCounty,Georgia",34.9,24.6,45.5,
309,"BryanCounty,Oklahoma",33.3,27.4,40,
310,"BuchananCounty,Iowa",32.6,26.2,39.8,
311,"BuchananCounty,Missouri",38.3,33.6,43.2,
312,"BuchananCounty,Virginia",33.7,26.1,42.4,
313,"BuckinghamCounty,Virginia",39.9,30.3,48.7,
314,"BucksCounty,Pennsylvania",26.2,22.5,30.1,628195.0
315,"BuenaVistaCity,Virginia",25.5,14.9,38.9,
316,"BuenaVistaCounty,Iowa",33.8,28.3,40.4,
317,"BuffaloCounty,Nebraska",29.6,26.5,32.9,
318,"BuffaloCounty,SouthDakota",47.6,38.1,57.6,
319,"BuffaloCounty,Wisconsin",23.7,16,34.7,
320,"BullittCounty,Kentucky",34,28.7,39.5,
321,"BullochCounty,Georgia",30.2,23.2,37.4,
322,"BullockCounty,Alabama",37.1,22.7,51.7,
323,"BuncombeCounty,NorthCarolina",21.7,17.8,25.3,259103.0
324,"BureauCounty,Illinois",26.7,18.5,36.5,
325,"BurkeCounty,Georgia",34.2,22.7,46.4,
326,"BurkeCounty,NorthCarolina",36.9,29.5,44.6,
327,"BurkeCounty,NorthDakota",37.9,27.7,47.8,
328,"BurleighCounty,NorthDakota",30.6,28.4,32.9,
329,"BurlesonCounty,Texas",38.9,24.6,55,
330,"BurlingtonCounty,NewJersey",28.6,25.9,31.5,445384.0
331,"BurnetCounty,Texas",31.5,22.3,40.9,
332,"BurnettCounty,Wisconsin",35,23.9,48.1,
333,"BurtCounty,Nebraska",36.1,31,41.7,
334,"ButlerCounty,Alabama",43.9,35.8,51.9,
335,"ButlerCounty,Iowa",33.2,25.5,42,
336,"ButlerCounty,Kansas",35.3,32,38.7,
337,"ButlerCounty,Kentucky",30.9,22.9,40.8,
338,"ButlerCounty,Missouri",37.8,30.9,44.9,
339,"ButlerCounty,Nebraska",34,28.8,39.8,
340,"ButlerCounty,Ohio",32.1,28,36.1,382378.0
341,"ButlerCounty,Pennsylvania",30.6,25.7,35.8,
342,"ButteCounty,California",27.2,22.2,32.7,231256.0
343,"ButteCounty,Idaho",28.3,19.5,37.8,
344,"ButteCounty,SouthDakota",31.9,26,37.8,
345,"ButtsCounty,Georgia",33.5,19.1,49.3,
346,"CabarrusCounty,NorthCarolina",35.6,29.7,41.8,
347,"CabellCounty,WestVirginia",33.2,30,36.6,
348,"CaboRojoMunicipio,PuertoRico",No Data,No Data,No Data,
349,"CacheCounty,Utah",26.4,24,28.9,
350,"CaddoCounty,Oklahoma",44.2,37.1,50.9,
351,"CaddoParish,Louisiana",40.1,36.3,44.2,242922.0
352,"CaguasMunicipio,PuertoRico",No Data,No Data,No Data,
353,"CalaverasCounty,California",30.4,21.1,41.2,
354,"CalcasieuParish,Louisiana",35.4,31.6,39.5,
355,"CaldwellCounty,Kentucky",33.8,25.3,42.7,
356,"CaldwellCounty,Missouri",32.2,22.6,44.2,
357,"CaldwellCounty,NorthCarolina",39.4,30.5,48.4,
358,"CaldwellCounty,Texas",39.2,29.2,49.5,
359,"CaldwellParish,Louisiana",39.9,30.3,49.6,
360,"CaledoniaCounty,Vermont",32.1,29,35.3,
361,"CalhounCounty,Alabama",38.5,34.6,42.5,
362,"CalhounCounty,Arkansas",29,19.2,40.3,
363,"CalhounCounty,Florida",36.6,32.4,40.9,
364,"CalhounCounty,Georgia",27,14.8,43.7,
365,"CalhounCounty,Illinois",36.3,22,52.4,
366,"CalhounCounty,Iowa",36.4,27.7,45.8,
367,"CalhounCounty,Michigan",33.6,28.6,39,
368,"CalhounCounty,Mississippi",38.4,30.6,47.1,
369,"CalhounCounty,SouthCarolina",38.5,30.7,46.9,
370,"CalhounCounty,Texas",30.5,20.5,42.2,
