Location,Population,Obesity Percentage,Lower Limit,Upper Limit
"Los Angeles County,  California",10105518,21.4,20.2,22.7
"Cook County,  Illinois",5180493,27.7,26.5,29
"Harris County,  Texas",4698619,27.6,25.5,29.7
"Maricopa County,  Arizona",4410824,26.9,26,27.8
"San Diego County,  California",3343364,20.2,18.5,21.7
"Orange County,  California",3185968,19,17.3,20.8
"Miami-Dade County,  Florida",2761581,21.8,19.4,24.7
"Dallas County,  Texas",2637772,29.8,26.9,32.6
"Kings County,  New York",2582830,22.6,21.2,24.1
"Riverside County,  California",2450758,27,24.5,29.6
"Queens County,  New York",2278906,23,21.2,24.7
"King County,  Washington",2233163,21.9,21,22.8
"Clark County,  Nevada",2231647,25.3,23.8,27
"San Bernardino County,  California",2171603,28.6,25.8,31.5
"Tarrant County,  Texas",2084931,29.3,26.4,32.1
"Bexar County,  Texas",1986049,28.5,25.4,31.8
"Broward County,  Florida",1951260,24.4,22.2,26.8
"Santa Clara County,  California",1937570,19.2,17.2,21.3
"Wayne County,  Michigan",1753893,34.4,32.8,36
"Alameda County,  California",1666753,19.2,17.3,21.5
"New York County,  New York",1628701,14.7,13.5,16
"Middlesex County,  Massachusetts",1614714,21.6,20.4,22.9
"Philadelphia County,  Pennsylvania",1584138,27.6,25.6,29.6
"Sacramento County,  California",1540975,28.7,26.5,31
"Palm Beach County,  Florida",1485941,21.1,18.8,23.6
"Suffolk County,  New York",1481093,24,21.8,26.2
"Hillsborough County,  Florida",1436888,24.1,22,26.2
"Bronx County,  New York",1432132,28.8,26.3,31.7
"Orange County,  Florida",1380645,25.2,22.9,27.6
"Nassau County,  New York",1358343,23,20.9,25.4
"Franklin County,  Ohio",1310300,29.8,27.9,31.7
"Hennepin County,  Minnesota",1259428,22.3,21.4,23.3
"Oakland County,  Michigan",1259201,24.5,22.8,26.3
"Travis County,  Texas",1248743,22,20.2,23.7
"Cuyahoga County,  Ohio",1243857,30.2,27.9,32.7
"Allegheny County,  Pennsylvania",1218452,27.5,25.6,29.6
"Salt Lake County,  Utah",1152633,24.7,23.7,25.7
"Fairfax County,  Virginia",1150795,21.3,19.3,23.3
"Contra Costa County,  California",1150215,23.8,21,26.7
"Mecklenburg County,  North Carolina",1093901,27.8,25.4,30.2
"Wake County,  North Carolina",1092305,24.8,22.5,27.2
"Montgomery County,  Maryland",1052567,20.8,19.6,22.3
"Fulton County,  Georgia",1050114,24.8,22.6,27.3
"Pima County,  Arizona",1039073,25.2,23.7,26.9
"Collin County,  Texas",1005146,27.5,23.1,31.7
"St. Louis County,  Missouri",996945,27.6,25.4,29.5
"Fresno County,  California",994400,31.4,27.8,35.5
"Honolulu County,  Hawaii",980080,23.7,22.8,24.5
"Pinellas County,  Florida",975280,24.6,22.1,27.1
"Westchester County,  New York",967612,20.3,18.3,22.3
"Marion County,  Indiana",954670,32.4,30.7,34.1
"Duval County,  Florida",950181,31.1,29,33.3
"Milwaukee County,  Wisconsin",948201,32,30,34.2
"Fairfield County,  Connecticut",943823,20.8,19.8,21.9
"Bergen County,  New Jersey",936692,21.8,19.4,24.3
"Shelby County,  Tennessee",935764,35.4,32.7,38.3
"Gwinnett County,  Georgia",927781,29.9,26.9,33.2
"Erie County,  New York",919719,29.7,27.5,32.3
"Kern County,  California",896764,32.2,27.9,36.4
"Hartford County,  Connecticut",892697,25.8,24.6,27.1
"Pierce County,  Washington",891299,31,29.3,32.6
"San Francisco County,  California",883305,18.5,15.9,21.4
"Macomb County,  Michigan",874759,31.5,29.1,33.8
"Hidalgo County,  Texas",865939,34.4,29.3,40.1
"Denton County,  Texas",859064,24.9,20.4,29.7
