Location,Population,Lower Limit,Upper Limit
"Los Angeles County,  California",10105518.0,20.2,22.7
"Cook County,  Illinois",5180493.0,26.5,29
"Harris County,  Texas",4698619.0,25.5,29.7
"Maricopa County,  Arizona",4410824.0,26,27.8
"San Diego County,  California",3343364.0,18.5,21.7
"Orange County,  California",3185968.0,17.3,20.8
"Miami-Dade County,  Florida",2761581.0,19.4,24.7
"Dallas County,  Texas",2637772.0,26.9,32.6
"Kings County,  New York",2582830.0,21.2,24.1
"Riverside County,  California",2450758.0,24.5,29.6
"Queens County,  New York",2278906.0,21.2,24.7
"King County,  Washington",2233163.0,21,22.8
"Clark County,  Nevada",2231647.0,23.8,27
"San Bernardino County,  California",2171603.0,25.8,31.5
"Tarrant County,  Texas",2084931.0,26.4,32.1
"Bexar County,  Texas",1986049.0,25.4,31.8
"Broward County,  Florida",1951260.0,22.2,26.8
"Santa Clara County,  California",1937570.0,17.2,21.3
"Wayne County,  Michigan",1753893.0,32.8,36
"Alameda County,  California",1666753.0,17.3,21.5
"New York County,  New York",1628701.0,13.5,16
"Middlesex County,  Massachusetts",1614714.0,20.4,22.9
"Philadelphia County,  Pennsylvania",1584138.0,25.6,29.6
"Sacramento County,  California",1540975.0,26.5,31
"Palm Beach County,  Florida",1485941.0,18.8,23.6
"Suffolk County,  New York",1481093.0,21.8,26.2
"Hillsborough County,  Florida",1436888.0,22,26.2
"Bronx County,  New York",1432132.0,26.3,31.7
"Orange County,  Florida",1380645.0,22.9,27.6
"Nassau County,  New York",1358343.0,20.9,25.4
"Franklin County,  Ohio",1310300.0,27.9,31.7
"Hennepin County,  Minnesota",1259428.0,21.4,23.3
"Oakland County,  Michigan",1259201.0,22.8,26.3
"Travis County,  Texas",1248743.0,20.2,23.7
"Cuyahoga County,  Ohio",1243857.0,27.9,32.7
"Allegheny County,  Pennsylvania",1218452.0,25.6,29.6
"Salt Lake County,  Utah",1152633.0,23.7,25.7
"Fairfax County,  Virginia",1150795.0,19.3,23.3
"Contra Costa County,  California",1150215.0,21,26.7
"Mecklenburg County,  North Carolina",1093901.0,25.4,30.2
"Wake County,  North Carolina",1092305.0,22.5,27.2
"Montgomery County,  Maryland",1052567.0,19.6,22.3
"Fulton County,  Georgia",1050114.0,22.6,27.3
"Pima County,  Arizona",1039073.0,23.7,26.9
"Collin County,  Texas",1005146.0,23.1,31.7
"St. Louis County,  Missouri",996945.0,25.4,29.5
"Fresno County,  California",994400.0,27.8,35.5
"Honolulu County,  Hawaii",980080.0,22.8,24.5
"Pinellas County,  Florida",975280.0,22.1,27.1
