NAME,Household Total,Median,Mean
"Baldwin County, Alabama",76779,56732,74892
"Calhoun County, Alabama",43972,41687,58992
"Cullman County, Alabama",30299,39411,54412
"DeKalb County, Alabama",25383,35963,48529
"Elmore County, Alabama",29350,52579,71553
"Etowah County, Alabama",38766,41152,55243
"Houston County, Alabama",39167,42321,59912
"Jefferson County, Alabama",261904,50180,74945
"Lauderdale County, Alabama",37875,43427,58691
"Lee County, Alabama",59354,48056,64562
"Limestone County, Alabama",31880,50872,69299
"Madison County, Alabama",143669,60503,85057
"Marshall County, Alabama",34726,42362,59315
"Mobile County, Alabama",157141,45744,61800
"Montgomery County, Alabama",90827,45395,65678
"Morgan County, Alabama",44816,44378,59794
"St. Clair County, Alabama",31615,60158,65740
"Shelby County, Alabama",76059,73647,91136
"Talladega County, Alabama",31517,39393,51776
"Tuscaloosa County, Alabama",73825,47787,65773
"Walker County, Alabama",23863,39068,50794
"Anchorage Municipality, Alaska",105249,85634,106393
"Fairbanks North Star Borough, Alaska",33770,77328,87359
"Matanuska-Susitna Borough, Alaska",30305,69332,87787
"Apache County, Arizona",20018,34685,44505
"Cochise County, Arizona",50147,45508,55174
"Coconino County, Arizona",47408,55091,67297
"Maricopa County, Arizona",1521131,58737,81501
"Mohave County, Arizona",84876,42423,57530
"Navajo County, Arizona",33587,36998,51447
"Pima County, Arizona",400835,47560,65881
"Pinal County, Arizona",132352,52555,65692
"Yavapai County, Arizona",94962,50420,65804
"Yuma County, Arizona",73072,43518,56872
"Benton County, Arkansas",94494,63631,83871
"Craighead County, Arkansas",39813,43678,64488
"Faulkner County, Arkansas",43964,48506,65068
"Garland County, Arkansas",39309,42826,56172
"Jefferson County, Arkansas",26750,37712,51502
"Lonoke County, Arkansas",26327,55837,64569
"Pulaski County, Arkansas",161291,47387,72387
"Saline County, Arkansas",43371,64932,75347
"Sebastian County, Arkansas",51055,42053,56346
"Washington County, Arkansas",88690,45679,64869
"White County, Arkansas",28221,42844,54969
"Alameda County, California",572012,89979,117667
"Butte County, California",85531,45177,65703
"Contra Costa County, California",391288,91045,122204
"El Dorado County, California",69653,75772,100639
"Fresno County, California",303216,48715,68967
"Humboldt County, California",54230,43130,64617
"Imperial County, California",44855,49095,63208
"Kern County, California",270359,49903,67594
"Kings County, California",43090,53234,67901
"Lake County, California",24593,42029,60536
"Los Angeles County, California",3305589,61338,89718
"Madera County, California",44369,51657,67604
"Marin County, California",106333,103845,160053
"Mendocino County, California",35439,43809,65838
"Merced County, California",77713,47739,70672
"Monterey County, California",125740,63876,88289
"Napa County, California",49561,75077,106368
"Nevada County, California",38708,59022,85575
"Orange County, California",1032218,81837,113420
"Placer County, California",139104,85426,110245
"Riverside County, California",715040,60134,79354
"Sacramento County, California",535090,59780,81290
"San Bernardino County, California",633173,56337,73078
"San Diego County, California",1110568,70824,96692
"San Francisco County, California",358703,103801,144957
"San Joaquin County, California",227186,59518,77528
"San Luis Obispo County, California",106312,70564,88338
"San Mateo County, California",263445,108627,156259
"Santa Barbara County, California",142449,67436,93389
"LaSalle County, Illinois",44753,57476,66763
"McHenry County, Illinois",110717,81063,94250
"McLean County, Illinois",65644,62156,82471
